,source,target
4950,not before i shoot you in the eye so let s talk,not before i put one right between your eyes so let s talk
4951,i suppose you want to know about that silly book of yours,i m sure you re curious about what s going on with your book
4952,for him a damn gift from god,freakin gift from god to him
4953,this town is gonna give you the biggest damn parade you ever seen,this city will make you the biggest parade you ve ever seen
4954,my fucking man,that s my guy
4955,slightly insane but never uninteresting always ass kicking life,a bit crazy but never interesting just absolutely sensational life
4956,i don t see no goddamn map,i don t see any map
4958,god why do they always see the sound i hate the damn blanket,christ why do they always honour me with the sound that irritates most
4960,look mother i caught her stealing she was running away with her sister the whore,mother i caught her stealing she wanted to run away with her sister
4962,what the fuck buddy,what s the matter with you man
4963,you re mom s the best at having boobs,your mom is the best in the chest
4964,by trying with a lady with the cramps and the guy with the fucked up feet,trying to help a lady with a hamstring and a guy with an accomplished foot
4965,she s poison this one,it s like poison
4966,that guy was just an obsessed reader who couldn t tell real life fromthe crap you make up for a living,the guy was just an obsessed reader who couldn t distinguish real from the one you write for your life
4968,shut up i m on my way,i m on my way
4969,not me idiot ever thought it was kimber,you didn t think it was kimber
4970,you re the one who s trying to fuck me,i m not you re the one that s trying to me will
4971,tell her you re her patient you re sick,tell her you re one of her patients feeling sick
4972,from the idiots who kidnapped me,i got the number from the a holes that kidnapped me
4973,it s kind of a dick that doesn t have legs so it can t land,there s a kind of bird that don t have any legs so it can t alight on nothing
4974,there are probably two fucking guys out there watching and listening to us right fucking now,there s a problem with two murderers who are watching us right now and they re listening
4975,hey for god s sake you re gonna suck me,hey jesus christ you ll turn me inside out
4976,if they was all dentists we could call this a damn convention,if they were all dentists you might call it a convention
4977,the stupid thing is your father was fine in the beginning,the awful thing is my father started out good
4978,scared of cheating a hanging judge kill him,are you afraid to deceive a hung judge
4979,they fuckin shot him,they shot him
4981,it s a fucking war zone,it s a battlefield
4982,the man is a disgrace to his uniform,the man shamed his uniform
4983,i bet he s happy as a pig in shit you re not going away with me,i bet he s happy you re not coming with me
4984,i m in charge of the infrastructure you arrogant prick,i m responsible for the infrastructure
4985,i d like this white lump,i d like some white bread rolls
4986,you still think like some street schmuck,always thinking like a shindig from the street
4987,it s a simple fucking question,it s a simple question
4988,don t be silly you re in paris for a few more hours,you re in paris for a few more hours
4990,what was a dumb idea,what was a bad idea
4991,as stupid as it sounds but his thumb is in there you gotta weld it open,willi it sounds weird but his thumb is inside and you have to open it
4992,as her eyes closed she felt him raise his hips lifting the thickness of his sex from between her labia and with one thrust hard enough to stab the breath from her he entered dropping down on top of her as he did so,while her eyes met her she could feel her hips lifting raising her gender from beneath her pines and in one harsh motion strong enough for her to start her breath he drove into it and fell down on top of it
4993,don t bullshit me,don t try this on me
4994,don t you fucking joke,it s not a joke
4995,fuck him,yeah give him
4996,so is he a hero or an asshole,now is he a hero or is it hype
4997,great she s mixing all this shit,great it s all mixed up
4998,they shouldn t call it insurance but ln case shit,they shouldn t call it insurance but a case of disaster
4999,i ll cut you,i m a cut ya
5001,don t worry the next guy who s coming out has a dove hidden up his asshole so,don t worry the next guy in line has a hidden dove
5002,jesus that s a big sucker,jesus it s big
5003,you fucking cut her,you cut her
5004,shit you scared me,you scared the hell out of me
5005,you can move your big balls into phil s old office right now,now move your big ball into the former phil s office
5006,humans kill caesar,people killed caesar
5007,fuck you come on guys,come on you guys
5008,no shit that s fascinating,that s fascinating
5009,do you realise who the fuck you re talking to do you,do you realise who you re talking to
5010,i m a dangerous bitch from the everwood woods,i am a dangerous creature from the everfree forest
5011,get the fuck out,get out of here
5012,he looks like shit but he s working,he looks awful but he s working
5013,because i ve been on his side for over a year and all i ve noticed is that he s a decent guy with sexual intercourse,because i ve been right beside him for over a year and all i ve seen is a nice guy with a few sexual quirks
5014,evan that s psycho shit man,evan man this is crazy
5015,i shall look forward personally to exterminating you mr bond,i ll be happy to personally take care of your little brother mr bond
5016,frankie shut up,frankie you be quiet
5018,turned me against my own only so you could sell my ass out,you gonna turn me against your own so you can sell me out
5019,you don t respect those people very much y t because you re young and arrogant,you don t respect those people y t because you re young and bold
5020,she said someone did call her asking about mr hunt but all she did was refer him to the press office she denies other conversation took place total bullshit,he said someone called and asked about him but she only referred him to the press department and denies talking about anything else
5021,laughs what the fuck are you talking about,what are you talking about
5022,guinea pigs,guinea prasata
5023,she didn t fuck you last time you think she s gonna fuck you this time hey hey,she didn t give you last time do you think she ll give it to you right now
5024,you fucked it,you ve done it
5025,i just want to make you a damn omelet,hell i just want to make an omelette
5026,when i m finished with you you ll leave vienna you ll look so silly,when i m done with you you ll pull out of vienna
5028,you want to shoot a pea,wanna flick some peas
5029,tired of being snake bit sun struck waiting to be killed,tired of snakes and sun waiting to die
5030,just get us in the damn garage man,just get us into the garage man
5031,the bloody king of carmel vesper abedon,silas the blood king of carmel vesper abedon
5032,he s just a corpse,it s only a dead guy
5033,shit minutes ago you almost told me your name,minutes ago he almost told his name
5034,god this is absurd and stupid he sat down on the sofa resting his elbows on the table and grabbing his head,he sat down on the sofa put his elbows on the table and laid his head on his hands
5035,and what the hell is all this shit about some safe being empty,what s all this talk about a vacation safe
5036,a big british cheat,like a big british fiddle
5037,something fun that happened to you when you were doing a fucking job,something funny that happened to you while you were doing a job
5038,he s a cheat just like your brother,he cheated just like your brother
5039,i m starting to hate this fucking phone,the phone s starting to piss me off
5040,shut up and concentrate,keep quiet and concentrate
5041,i d have to believe that people are stupid enough to send money to a girl in a sexy lingerie to be in a coma,like to believe that people are a little too savvy these days to send money to a girl in sexy lingerie who s supposed to be in a coma
5043,are your parties silly and boring,are your parties dull and boring
5045,pervert,creep
5046,i heard the woman say holy shit,i heard the woman say holy goodness
5047,hornblower remembered the caricatures of english magazines which so often drew napoleon as a frog trying to swell up like an ass,hornblower thought of the cartoons in the english newspapers which had so often compared bonaparte with the frog who tried to blow himself up as big as an ox
5048,who are you fucking clapping orders at wu,who are you clapping for wu
5049,i am a fucking cop gil,i m a cop gil
5050,don t start all that shit,don t start with all these bad guys
5051,hold the fuck on,wait a minute
5052,now that s a freaking soldier of god,he s an extraordinary warrior of god
5053,crap like lisa and ben right,lisa and ben right
5054,where the fuck are my boxer shorts,where do i put my shorts
5055,as impossibly ridiculous as his mouthpiece and collar i knew there was a certain dignity in the look of it,utterly preposterous as his cravat was and as his collars were i was conscious of a sort of dignity in the look
5056,l win you get your ass back home and you re at msa first thing in the morning,i win you go back home and you get on the net
5057,this was such a stupid idea,this was such a bad idea
5058,make me go all john mcclane on their asses,i ll run on them like john mcclane
5059,and we re all fucking hellboy,and we all ate hellboy
5060,my baby is fucked on cocaine katsov,party s over cause my baby s fettered
5061,she was sitting on her butt wings half melted,she was sitting on her haunches her wings half spread
5062,then the amazing lady taught me everything about my pussy,afterwards the gorgeous lady teaches me everything about my coochie snorcher
5063,oh for fuck s sake anyone fish the body out,for christ s sake did somebody pull the body out
5064,you sold me a stupid watch,you sold me a crummywatch
5066,me her a bunch of little bastards,you see me she and a bunch of kids
5067,yeah you tell me you don t wanna get back at this asshole and i ll drop it,tell me you ll give this guy back and i ll stop
5068,there is a sudden spreading pancake of warmth on his ass and he realizes he has just shot the chocolate,he suddenly feels a kind of spreading heat and he realizes he just blew himself up
5069,i wouldn t this is stupid,i wouldn t do that
5070,nigga i got to explain shit to you now,do i have to explain to you now
5071,damn how terribly strong the waiter told me you could help me,the thunder the power the waiter said you could help me
5072,well that shouldn t affect you because he should be able to fuck as many girls as he wants cause you guys are not in a committed relationship,you shouldn t care because he can stick as many girls as he likes cause you re in a free relationship
5073,fuck stop hubert,stop it hubert
5074,i m telling you fucking no one,i m telling you no one at all
5075,shit just turn the wheel and step on the pedal,hell can t you turn the wheel and step on the pedal
5076,they would need duncan idaho s new talents to counter the whores,duncan idaho s new talents will be needed he could face those girls
5077,you ve had a whole week to kill omar,he had a whole week on omar s killing
5078,don t do nothing stupid jt,don t do anything jt
5079,you greedy bastard so the only thing that connects us to the case is in your car which is parked outside,so the only thing connecting us with the case is in the back of your car which is parked outside
5080,am i her bitch,am i her dog
5081,i was going to marry her if she hadn t gone partners with hoff on that damn lie and i don t care for my share of this at all,i wanted to marry her if she hadn t joined the hofer and didn t lie together and i didn t want my share of this
5082,i want you to respect her shit what are you talking about,so i want you to respect her what are you talking about
5083,go on scat go on,go go go
5084,you re a sick lady well i m not asking you to handle me,i m not asking you to patronize me
5085,what if you do the ceremony but you don t have any stupid ideas of your own and you just say the stuff that i came up with,what if you do the ceremony but instead of your bad ideas you ll tell me what i came up with
5086,surprised to see me asshole,surprised to see me
5088,suck it future,and you ve got it future
5090,fucking cow,jesus cow
5091,hang onto your ass gentlemen,keep tight gentlemen
5092,forgive me if i don t eat your face,forgive me for not having your face
5093,that s how he got the nickname little penis,that s how he got his nickname
5094,to see his only little girl put her life on hold for some cheating fucking asshole,to see that his only little girl was in the hands of a poor man who was cheating on her
5095,slow down you dick,slow down tardy slip
5096,i think we re a good reporter why do they make you uncomfortable when you have to write these stupid articles,i mean if you re a good journalist why make you jump through hoops and write all these tryout articles
5097,i m really going to kill the baby on christmas eve,i can t believe i m doing this on christmas eve
5098,your parents aren t gonna give you shit,and your parents will send you directions
5099,now what if we just took the damn zeppelin out,what if we took the plane off
5100,red is the elfstones the blue is the elfstones of the minulous year and the black are shamstones of the shadows complete idiots,red reps the followers of the moon my peeps green s for elves blue s for warriors of yesteryear and black s for shadow orcs total d bags
5101,i was there once and two buckaroos were moved away with two bitches in london,only time i ever got there a couple of bookies had me take them and a couple of tarts to london
5102,damn it josephine the jar was in the drawer at home,hell josephine they stayed in the drawer
5103,can you shut the fuck up for one second,can you be quiet for a minute
5104,the least i can do is stay and fight niggas,the least i can do is stay and fight with them
5105,no alex i m just a fag hag,no alex i m just a homegrown friend
5106,this was a fuckin bomb droppin on beaver cleaverville,this was a staged bombing in beaver cleaverville
5107,no wonder the bitch went down so fast,no wonder she went down so quickly
5108,you can t win if you play so miserable,you cannot win half assed
5109,but i was screwed,but i was toast
5110,he s certainly raising the bar damn,he s definitely raising the bar
5111,why did you suck so much,why did you drink so much
5112,well actually my cat s looking for a pussy,well actually uh my boy cat is looking for a girl cat
5113,what fuckin planet do you live on,what kind of planet do you think you re living
5114,expect she s dead now or some fat old granny with a dozen kids,i assume she s already dead she s a round old lady with lots of kids
5115,i ve never had so much fear in my life damn it,i ve never felt more fear in my life
5116,stop motherfucker,stop the car
5117,goddamn it,blimey
5119,all we ve ever dreamed of is in that tank and you let a stranger shit out of gas,everything we ever dreamed of is in that gas tank you got a stranger pouring gasoline on it
5120,look i m going miles an hour speed limit and my ass is running away,look here we are miles an hour well within the speed limit and the tail s gone
5121,we know you re fucking him,we know he s your fancy man
5122,if we don t put the shermans in six the division will be stuck in carentan s shit,if we don t off load those shermans by we il have an entire division stuck at carentan with its pants around its ankles
5124,you re gonna see that when i buy that farm you re gonna make these assholes out of town parking lot,you kids ll all find out when i buy the farm and those urban renewal poops turn this place into a parking lot
5125,i m not running away like a fucking whimp,i m not gonna run like a punk
5126,well maybe tommy refuses to live in tuppence s stupid fantasy world where every problem s solved in half an hour,well maybe just tommy doesn t want to live in a crowded world with his sister s illusions where every problem can be solved in half an hour
5127,shit maybe i could get you a job with united fruit,hell maybe i can give you a job at united fruit
5128,i wanted to meet in chicago but that goddamn maggadino said upstate s cool,i wanted to meet in chicago but maggadino said it was good
5129,are you really gonna protect some whiny little git who hides behind his clients,are you seriously going to protect that little svini lurking behind his clients
5130,just get on the register get a lawyer get fucking out,i ll get a lawyer and get out of here
5131,my crotch,my taint
5132,just before i walked in i realized that when i supported tritzm s theory that he shot me and killed lundy i would look like a fucking nutter,right before i went in i realized if i pitched the entire trinity theory and i added that he also shot me and lundy
5133,god i burnt my fucking snatch,oh my god i scalded my mandu
5134,oh shit,oh
5135,i threw the damn thing on his neck and he didn t know where he was going to jump there were more people walking to his desk than mine,i d turned the whole thing over to him and he d been busy all afternoon with more people coming and going at his desk than mine
5136,that s bullshit,this is crazy
5137,fuck come on,come on
5138,you made me a fucking accomplice you liar,you made me an accomplice
5139,shit what was that,what was that
5140,i hope you don t starve to death,i hope you re not starving
5141,shit in the ball,turd in the punch bowl hey
5142,i want this fucking lamb,i want that lamb now
5143,he s small but he s heavy as shit,he s small but he s heavy
5144,the temperature is degrees holy shit,the temperature is celsius
5145,second stupidest,second largest
5146,you signed it in the fucking bank,we saw you at the bank
5147,you re swinging off your parent s cigarettes as they have sex,you steal your parents cigarettes when they give it up
5148,because man screw that guy,because man let him rip
5149,damn it you d better take her to her quarters,you better take her to her stateroom
5150,crap what time is it,what time is it
5151,i mean i didn t take the shit from my own mother,i didn t like the same scenes from my mother
5152,those damn fuel tubes freeze,the bloody fuel lines are starting to freeze
5154,because somebody smells like they ate the ass end out of a northbound cow,because someone is pulling if they ate a kelp hole from a northern cow
5155,harold beat you loser,harold beat you you butter
5156,why would she cry rape on you i asked,why would she accuse you of rape i asked the question
5158,this bald sad clown isn t really much of a nurse so could you go ahead and keep an eye on him for me,there s not much of a sister in here so can you keep an eye on him for me
5160,i d rather you were dead,i d rather you were
5161,we re worried about where the prisoner is being found in the middle of this fucking mess,our concerns are for the whereabouts of a prisoner who legged it during all this bloody chaos
5162,she s a bitch sometimes,sometimes she s unbearable
5163,natural causes my ass,no natural causes
5164,costs more but if shit s contaminated,it s more expensive but then when they re contaminated
5165,you were a pathetic cubbie when we first met,i was a poor cabbie when we first met
5166,you brought me up here to show me your penis,i m here for you to show me your pen
5167,what the hell are you talkin about man,what are you talking about
5168,the fool caught her and the shock nearly knocked him over,the jester caught her and nearly knocked him out
5169,what the fuck are you talking about,what are you talking about
5170,yeah your tits are awesome,oh yeah they re amazing
5171,put it on and shut up,put this on and quiet
5172,eat that shit yourself,eat it yourself
5173,you ve got both of you seconds to get the fuck out,you have seconds to get out or i ll be bad
5174,i smell like that fucking bus driver,it smells like the bus
5175,l a mr trudeau don t mean shit,from la mr trudeau that doesn t mean anything
5177,it s all cracked and shit,it s all cracked
5178,this time your song was different much more pathetic and more shrill,your song was different this time much more plaintive and piercing
5179,hell even liber looked like heroes for kidnapping this scumbag,liber would then look like heroes for his kidnapping
5180,s billy joel doo wop sucks,the doo wop billy joel of the s is a horror
5181,look at that son of a bitch the king gasped,look at the beast said the king
5182,that s why this sucks,that s what this is for
5183,for god s sake miller will you take your balls out of your wife s purse and finger the dirtbag,for christ s sake miller are you a man or are you a woman
5184,don t lie to him you limp dick,don t lie to him limpy
5185,what the fuck was that,what was that again
5186,so pathetic and empty,how pitiful and empty
5187,damn man i said i wasn t running with him,for god s sake i didn t run away with him
5188,who the hell are you to give me orders,who do you think you are to give me orders
5189,with you dummy what do you think,with you you little punk where else
5190,remember when i came back from break all messed up dropped out of pre med the drugs the bitches,do you remember when i came home with the holidays all over leaving the jellyfish products dorging whingeing
5191,poodles and shit,poodles and shih tzus
5192,it s poor damn timing at the least,at least it s poorly timed
5193,somebody wanted her dead,someone didn t want to see her alive
5194,the film was simply repugnant,that movie was just god awful
5195,it s an absolute mystery to me and i keep on people like rupert to decapitate her if they can,it s a complete mystery and i leave it to people like rupert to solve if they can
5196,never trust the fucking addicts,never trust addicts
5197,i heard you fucked up the party,i heard you messed up the party
5198,now if you ll excuse me i ll f your mother,now if you ll excuse me i m gonna go your mother
5199,then just tell me what the thing is and we ll send the clown home,so just tell me what the object is and we ll send this joker home
5201,what makes you think i m not interested in a good fuck,why do you think i wouldn t be interested in a good showcase
5202,and i sure as shit won t start with this one,and i m pretty sure i m not gonna start with this
5204,you want to see my poop,do you not want to see my resume
5205,it s fucking him,that s him
5206,frankly i thought you were too much of a self absorbed ass to do this for us,i thought you were too self centered to do this for us
5207,or locked up or living up in malibu with some fine ass year old bitches,i d be either dead or in jail or i d be living in malibu with some week old girls
5208,get your fucking hands off me,get your hand out of my
5209,and i sure as shit ain t some uncle tom if that s what you re trying to say,and i guarantee you i m no good uncle tom if that s what you re trying to say
5210,kill shouted ford,it s going shouted ford
5211,fuck you dear his wife said cheerfully,stuff it dear his wife said cheerfully
5212,so one of the guys judging us wants to fucking kill you,so one of the jurors wants to take you down
5213,they re my goddamn workers,they re my people
5214,as long as he s not a cop he can bring the whole fucking faculty,as long as he s not a cop he can take the entire college there
5216,tell me where the fucking gear is,tell us where it is
5217,you ve fucked me since you were born,you ve been nagging mesince you were born
5218,then suck me,then pester me
5219,you didn t just let me down you let yourself down you let the damn team down,you didn t just disappoint me but you disappoint yourself you disappoint the team
5220,no no you re not leaving here until i get that fucking tape,you won t leave until you give me the tape
5221,no i m not going to any depressing shit like that,no i m not going to any depressive tastes like this
5222,you re too smart not to know that you re wasting your talent in goddamn missing persons,raymond you re too smart not to know you re wasting your time in missing people
5223,i knew it a fag,i knew it
5224,i don t know how much you know about vidal sassoon but that shit ain t cheap,i don t know what vidal sassoon says but it s not a cheap thing
5225,only half a stupid percentage,half of one per cent actually
5226,the rubbish was there yesterday,the dirty parts were there yesterday
5227,i know all about your fucking condition,i know about your condition
5229,you gotta starve the pigs for a few days then the chopped up body will look like curry to a pisshead,you have to keep them hungry for a couple of days the chopped up body will look like foiled acid
5230,don t fuck it up gentlemen,don t screw it up gentlemen
5231,then shut up,be quiet
5232,never fuck with a guy who ain t got nothing to lose,never play with a man who s got nothing to lose
5233,i d help you with the romantic bullshit but my heart is like a cave full of bats,um i d help you with this romantic stuff but this here jet black cave full of bats
5234,and the enemies of light must be destroyed,and enemies of the light must not stand
5235,shut the fuck up donny whereas what we have here fig eaters wearing towels on their heads trying to find reverse on a soviet tank,what do we have here lots of figs with towels on their heads trying to answer an attack by a soviet tank
5236,just fucking read it okay,just read it okay
5237,and yet beneath it all you are scum all talk and no honour,and yet you re all just greedy under all this same speech and no honor
5238,damn you can grow a beard dude,you really have a beard man
5239,and i even meet people even those cunts and assholes cause i don t think they re bad,and i even miss people even the inchworms and the cretins because i don t really think they re bad i think they re just scared
5240,well this sucks,well that s messed up
5241,get on the motherfucking ground,down on the ground
5242,what the fuck are they shooting at,what are they shooting at
5243,he comes he comes when he jerks off,he ll only do it when he s on his way
5244,your brother s got times the balls,your brother is ten times the man you are
5245,scotty mccreery holy crap,scotty mccreery you do
5246,what did you say you wanker,what did you just say
5247,well now i know you re wrong cause the kid ain t that dumb,all right now i know you re wrong about the kid
5248,let s just get up get naked get in the shower have a little morning soapy sex then i m gonna wash your hair,let s just get up get undressed get in the shower take some of your morning soap and i ll wash your hair
5249,anything none of your fucking business,it s none of your business
5250,no no wait wait i mean it because every time i go to mobile for work i insist on a huge tractor or a herd of cows and shit,no no wait wait i m i m serious about this cause every time i go to mobile for work i get stuck behind a huge tractor or a herd of cows or something
5252,oh forget those jerks,forget about the dummies
5253,oh damn i left my ct machine in my other pants,i left a cd in my other pants
5254,let s see if this damn thing works,let s see if the scrap works
5255,you didn t tell anyone about who gave me the shit last night did you,you haven t told anyone about who gave me that stuff last night have you
5256,i couldn t stay in that fucking truck anymore,i couldn t stand it anymore
5257,the man is tired he needs to be shot,the man s tired he s got to lay himself down
5258,i don t know uncle charlie just never treated me like i was some stupid kid,i don t know uncle charlie didn t treat me like a regular kid
5259,well i m glad to see you finally got the message shut up bear,okay i m glad we finally got an understanding
5260,i gotta think of some good shit to tell this jamook,i have to think of something cool i ll tell this degen
5264,you ll never forgive yourself unless you get up and you get dressed and brush your goddamn teeth because your breath stinks,you ll never forgive yourself if you don t get up you don t dress and you won t brush your teeth because your breath smells
5265,so why don t you fuck off over there and dance on your own so i can talk to my friend,so why don t you take a picture and go dancing alone so i can have a chat with my friend
5266,i don t give a fuck if monica can t find a job,i don t really care if monica finds work
5267,i mean jesus jen s already at the lake with the damn dog,jesus jane and me we only live because we went to the lake with a dog
5268,hey where the fuck you goin man,hey where are you going
5269,oh jack baaaad shit richard moaned and grabbed at jack s shoulder,oh jack a bridge richard groaned clutching jack s shoulder
5270,shoot her casey,don t shoot
5271,goddamn it martin,oh my god martin
5273,you can t deal with this man michael he s poisonous,you can t deal with this man michael
5274,i m a chick look i m a pussy,shake it look i m a lady i m a lady everyone
5275,one of the damn kidnappers is with sean and he s got a gun,one of the kidnappers is with sean and he s got a gun
5276,come on we re in a fucking meeting man,come on we got a meeting man
5277,well you can see what it is it s tits,well you can see what it is
5278,who s gonna want to do business with us now after this shit,who will want to do business with us after this mess
5279,i told you bring the best out you bring me this cheap shit,i said can you get the best and you bring this
5280,only there s no snow we get warm food and the germans don t shoot the fucking cannons,except there s no snow we got warm grub in our bellies and the trees aren t exploding from kraut artillery but yeah
5281,the day you put your ass on the line that s the day you ll be a real reporter,once you ve started your own life you re gonna be a real reporter
5282,go away goddamn it you know i m just trying to do something,you know i m just trying to do something
5283,because i m telling you not to do it moron,because i am telling you not to half wit
5284,is that good shit,the stuff s good
5285,kill it miles,show yourself miles
5286,piglet wait for me,pooh piglet wait for me
5287,shit just turn the wheel and step on the pedal,it s not so hard to turn the wheel and roll
5288,i got you your own clown,i got you your own jester
5290,why the fuck is she asking her about billy pettigrew now,eric what is he asking her about billy pettigrew now
5291,melt him with your scary laser,fix it with your laser
5292,we re screwed,we re dead
5294,and who won the fucking war anyway,who won the bloody war anyway
5295,he d rather not have to look at her face anyhow all he wants is the brown skin the shut mouth that sweet and nigger submissiveness,even so he would rather not look at her face now he craves nothing more than a brown closed mouth that sweet non german subservience
5296,we don t want the feds to fuck up,we don t want any feds screwing it up case
5297,what the fuck that got to do with anything,what does that have to do with anything
5298,there s a special place in hell for your kind,there s a special place for your kind
5299,fucking scotland yard,screw scotland yard
5300,listen you re the one you re going to be needing some fucking target practice all right,listen you re who s gonna need some kind of practice target right
5301,no god damn it they re not,hell no it didn t
5302,i ll peck her eyes out,look at her eyes
5303,cao don t behave stupidly,cao don t do anything reckless
5304,because my damn name is mrs barrett,because my name is mrs barrett
5305,mr sifftifieus says we americans must lead the world s ignorant masses,mr sifftifieus says we americans must lead the uneducated masses
5306,if you il excuse me i have another tour group comingthrough my vagina in minutes,you must excuse me for my approval for another tour in minutes
5307,it s the damn coffee,it s the coffee
5308,damn it i tried two things that all kids love coffee and old seed packets,hell i tried two things that kids love coffee and old seeds
5309,oh yeah i m stupid for thinking a toy store might carry the world s most popular toy,yeah i m naive to think a toy store could handle the most famous toy in the world
5310,it s stupid,it s gibberish
5311,i m telling you mommy wants my dick,i m telling you mom wants my sausage
5312,don t be stupid chuckie,don t be mad chuckie
5313,neither niobe nor atropos understood that language but they got the gist from her mind she was calling him in eloquent idiom a male sexist pig,neither niobe nor atropos had changed their language but they gained the essence of her mind
5314,you didn t just say ass,you did not just say badunka dunk
5316,will you write an article about a silly and depraved aristocracy,what s your next article an article on corrupted aristocracy
5317,spider who bought this shit for you your dad,did your father buy you that
5318,i m sick of all the fucking responsibility,i m sick of my responsibilities
5319,shit i never loved any piece of clothes like this i swear to god,jesus i never loved a piece of clothing more in my entire life i swear to god
5321,that s a damn shame,it s such a shame
5322,prison s not an ass okay,prison is not fun okay
5324,i d rather stick my dick in a blender,i d rather stick it in the blender
5325,but this shit is important so don t tell anybody about us and what we do,but it s really important that you don t tell anyone about what we re doing
5326,you made everyone think i m a fucking patient zero,you told everyone i was a patient zero
5327,what the hell are you doing with a bunch of rabid weasels,what are you doing with rabid squirrels
5328,he s raped and tortured hundreds of women,he was violent and tortured by hundreds of women
5329,hathorne wanted to humiliate me in front of an ignorant gathering and you didn t drop a word for me,hathorne sought to humiliate me in front of a nescient congregation and you did not utter a word on my behalf
5330,yeah i was out there trying to whack these three junk bond fuckos,yeah i tried to beat the three of them out there
5331,and i have no idea what i did with her because i was so fucked up that i was in a fog all night,and i have no idea what i did with it because i was so drunk the entire night s a blur
5332,he s one of the maggots,it s one of the magter
5333,don t ever try to bullshit me again sorowitsch,don t ever try to fool me sorowitsch
5334,the bitch who sold it to me was robbed by a vet instead of a doctor,twat that sold them to me knocked off a vet s instead of a doctor s
5336,you re my best friend stupid,you re the best friend
5337,drive into a parking lot in your crap car leave in a stretch limo and be chauffeured to a mansion,you come to the parking lot in your wreck and leave in a long limousine that takes you to the mansion
5338,that s what you said last time dipshit,that s what you said last time
5339,so get the fuck off my back,then get away from me
5340,are you fuckin kiddin me,are you kidding me
5341,baby a bed of celebs and tits,a baby aww a canopy bed and goats
5342,shit bro this is freedom,this is freedom brother
5343,and your marriage sucks,your marriage isn t working
5345,this guy really screwed up,guy messed up big
5346,they make those stupid faces when they change our diapers,they make weird faces when they flip us
5348,now shut up,shush now
5349,shoot him partner,take him partner
5350,and you better fuck it up man,all right you better stick it dude
5351,shut up,quiet what
5352,i didn t sleep shit last night,i didn t sleep a wink since i spoke to you
5353,i could rest my beer on that shit,i d put my beer in there
5354,i thought they were ridiculous little men looking for mothers,i thought they were funny little men searching for their mommies
5355,can i have balls please,may i have marbles please
5356,i m going to miss the little bugger,i m gonna miss that little finger
5357,you fool why didn t you tell me,why didn t you tell me
5358,i ll cripple you,i m gonna hurtyou
5360,that dome over there million pounds of chicken shit dumped into the bay each year this is the best darn water i ve ever tasted,the dome over there million chicken excrement is dumped into the bay by every company but i think this is the best water
5361,the more we like a girl the stupider we get,the more we love each other the deeper we behave
5362,she s on the today show right now you buffoon,she s at the today show right now ding dong
5363,you re not lorde ignorant,you re not lorde
5364,he stinks,it smells
5365,what what the fuck are you talking about,what are you talking about
5366,i told you those fuckers at home depot knew what they were doing,i told you guys at the mall knew what they were doing
5367,i m calling the koga ninja dick who s in this village,i m calling a koga ninja bird that s in this village
5368,who i am is too deep and you got to go in and pull out the thing like that movie where the thing came out of the stomach and ate the people on the fucking spaceship,after the answer you have to search deeper as in that film where an intruder came out of your stomach and ate them all on the ship
5370,if you had just spent half the amount of time on your wedding vows as this stupid little investigation we would probably be walking down the aisle tomorrow,if you gave half our time to our wedding vows as you were in charge of the investigation we would probably say yes tomorrow
5372,your party boy bullshit has no place here at coolidge,your little boy boy ain t got nothin to do with coolidge and there s no place for him
5373,oz veuic and stupid louis thought,oz the gweat and tewwible louis thought
5374,hair as long as yours gives the assholes out there one more thing to grab,that kind of long hair gives you guys a chance to grab on to you
5375,oh for fuck s sake out of the way,oh boy out of the way
5376,fuck,six seven
5377,i ve been out here two months already busting my ass every night,i ve been here for two months every night and working as a mule
5378,put the shit away man,put it away buddy
5379,the bigger the road the more walkers the more assholes like this one,the bigger the way the more pedestrian more toilets like this one
5381,the drunken moron hasn t stop,the drunk didn t stop
5382,yeah so did i and that s what got us all in this shit,yeah so did i and that s what got us into this whole mess
5383,don t make a fool of me,don t jerk me around
5384,and i don t care to hear you say another goddamn thing,and i don t want to hear another word
5385,you know your dad s a dumb doofus don t ya,you know your dad s an old timer
5386,come here traitor i ll show you heaven,come here punk i ll show you heaven
5387,damn he s good in a crisis,oh boy he s good in a crisis
5388,a history of a drug addict and a rapist,a history of drug abuse and violence
5389,what the fuck is he doing running in the middle of the street at midnight huh,why is he running down the middle of the road at midnight
5390,god took my dick and the bushes,god has taken my bird and my bush i see
5391,come on move your ass,come on move it
5392,now danny this shit s about to get radical you gotta cover each other,danny things are getting serious you should cover each other
5393,crap i am a volunteer with very little training,hell i m just a short school volunteer
5394,don t ask me why but whenever they don t know what to do with this shit they send it to omaha,don t ask me why but whenever there s something you don t know about they ll eventually send it to omaha
5395,i saw you with a bunch of tits,i saw you with lots of cats
5396,or just the stupidity of their friends who will be quietly forgotten,or just a passing folly that her friends can hush up and will in time be quite forgotten
5397,a group of men raped and killed her,she killed a group of men in the city
5398,what if the guys who tell you and me shit to do were lied to also,what if those who say what we re supposed to do is also lying
5399,fucking laugh at me,you re laughing at me
5400,i challenge you to a whore off,i m taking you to kurvus
5401,it will be a swift and painless death,it will be quick and painless
5402,you re not gonna be a fuckin pussy and tell mom i m home are you,you don t have to tell your mom i m home
5404,my jim is dead so who the fuck are you,my jim s dead so who are you
